time_ps,protein_CA_RMSD_A,ligand_heavy_RMSD_receptor_fit_A,ligand_site_center_distance_A,included_in_summary,site_contact_count,all_EGFR_contact_count,native_contact_fraction,retained_descriptive
2.0,1.1188821,1.8227856,0.9894368,False,13,13,0.9090909090909091,True
4.0,1.1639688,2.355097,1.378635,False,12,12,1.0,True
6.0,1.2095395,2.3366146,1.3280716,False,13,13,0.9090909090909091,True
8.0,1.2182724,2.3594415,1.2481747,False,11,11,0.8181818181818182,True
10.0,1.2146745,2.3831086,1.3094288,False,12,12,0.9090909090909091,True
12.0,1.3225514,2.4530432,1.4560194,False,14,14,1.0,True
14.0,1.3386371,2.4990025,1.6056154,False,12,12,0.9090909090909091,True
16.0,1.2552202,2.0477157,1.2004405,False,14,14,1.0,True
18.0,1.259929,2.4739778,1.6584383,False,13,13,1.0,True
20.0,1.3032296,2.2038753,1.6495668,False,15,15,1.0,True
22.0,1.324254,2.562511,1.534342,False,12,12,0.9090909090909091,True
24.0,1.3439999,2.418624,1.5041493,False,12,13,0.9090909090909091,True
26.0,1.3333261,2.4126804,1.6361243,False,14,14,1.0,True
28.0,1.3520879,2.18499,1.5592427,False,12,12,1.0,True
30.0,1.3266149,2.3201678,1.7956841,False,14,15,1.0,True
32.0,1.3492105,1.9873418,1.1003077,False,15,15,0.9090909090909091,True
34.0,1.3962691,2.1903148,1.2638388,False,15,15,1.0,True
36.0,1.4416537,2.1386697,1.258728,False,15,15,1.0,True
38.0,1.5027578,2.2138648,1.4587986,False,14,14,1.0,True
40.0,1.5203261,1.7671523,1.0482349,False,13,13,0.9090909090909091,True
42.0,1.4243209,2.285424,1.113323,False,14,15,0.9090909090909091,True
44.0,1.4738319,2.0703416,1.4150798,False,13,13,1.0,True
46.0,1.4932206,2.547649,1.3397205,False,15,15,1.0,True
48.0,1.4772313,2.3783708,1.3578091,False,15,15,1.0,True
50.0,1.4020779,2.3852942,1.421102,False,14,14,1.0,True
52.0,1.442991,2.4246635,1.5405251,False,14,14,1.0,True
54.0,1.4976974,2.2181976,1.4096868,False,14,14,1.0,True
56.0,1.4727805,2.210979,0.83408487,False,14,14,0.9090909090909091,True
58.0,1.4435093,1.888279,1.0475206,False,15,15,0.9090909090909091,True
60.0,1.4734399,1.7991318,0.9955734,False,14,14,0.9090909090909091,True
62.0,1.4649242,1.8922482,0.8569226,False,13,13,0.9090909090909091,True
64.0,1.5230248,1.8374596,1.1215408,False,14,14,0.9090909090909091,True
66.0,1.5399983,2.0311167,0.9737969,False,14,14,0.9090909090909091,True
68.0,1.510604,2.3821115,1.1485679,False,14,14,0.9090909090909091,True
70.0,1.4892126,2.3604124,1.24612,False,13,13,0.9090909090909091,True
72.0,1.5067374,2.25756,1.1021699,False,13,13,0.9090909090909091,True
74.0,1.5345247,2.341999,0.96446806,False,13,13,0.9090909090909091,True
76.0,1.5707252,2.2823362,0.97355425,False,13,13,0.9090909090909091,True
78.0,1.6105587,1.9353604,1.0266209,False,13,13,0.9090909090909091,True
80.0,1.6586127,2.2981205,1.0961744,False,14,14,0.9090909090909091,True
82.0,1.6018639,2.1372921,1.1146508,False,13,13,0.9090909090909091,True
84.0,1.6163182,1.8040634,1.2527002,False,13,13,0.9090909090909091,True
86.0,1.5801508,1.6917588,0.8378183,False,14,14,0.9090909090909091,True
88.0,1.584652,2.1235886,1.2439387,False,14,14,0.9090909090909091,True
90.0,1.6389766,1.6306685,0.8858986,False,13,13,0.9090909090909091,True
92.0,1.6557902,2.0575812,1.1013501,False,11,11,0.7272727272727273,True
94.0,1.6981332,2.2176554,1.2522354,False,13,13,0.9090909090909091,True
96.0,1.7181332,2.2016752,1.4147003,False,14,14,1.0,True
98.0,1.6999317,2.1715167,1.0696086,False,11,11,0.6363636363636364,True
100.0,1.6833534,2.2141569,1.1338012,False,15,15,1.0,True
102.0,1.7089261,2.1785572,0.8876426,False,13,13,0.8181818181818182,True
104.0,1.7064562,2.6538882,1.1676646,False,12,12,0.8181818181818182,True
106.0,1.7389451,2.484737,1.2141569,False,14,14,1.0,True
108.0,1.7341363,2.3915977,1.1616253,False,13,13,0.9090909090909091,True
110.0,1.7413394,2.4828143,1.3920052,False,14,14,1.0,True
112.0,1.8070168,2.1699772,1.2124097,False,13,13,0.9090909090909091,True
114.0,1.7847219,2.0963027,1.1966116,False,14,14,1.0,True
116.0,1.7773187,2.1182961,1.4855015,False,14,14,1.0,True
118.0,1.8734878,2.192625,1.4023376,False,13,13,0.9090909090909091,True
120.0,1.8758805,2.4464848,1.1844804,False,14,14,0.9090909090909091,True
122.0,1.9431633,2.6871898,1.3529032,False,12,12,0.8181818181818182,True
124.0,1.9622015,2.4068236,1.0196526,False,12,12,0.8181818181818182,True
126.0,1.9313098,2.6837227,1.3804175,False,11,11,0.8181818181818182,True
128.0,2.0108283,2.4276407,1.1940068,False,12,12,0.9090909090909091,True
130.0,2.017832,2.7891517,1.6013348,False,12,12,0.9090909090909091,True
132.0,2.1839035,2.36214,1.315605,False,12,12,1.0,True
134.0,2.150404,2.127685,1.3478595,False,11,11,0.8181818181818182,True
136.0,2.0671604,2.0217452,1.273273,False,13,13,1.0,True
138.0,2.1426513,2.078016,1.260563,False,12,12,0.9090909090909091,True
140.0,2.1371377,2.1938233,1.2470962,False,12,12,0.8181818181818182,True
142.0,2.2045062,2.6799912,1.6077962,False,11,11,0.8181818181818182,True
144.0,2.1278648,2.10588,1.8593004,False,12,12,0.8181818181818182,True
146.0,2.0962186,2.3253498,1.4441217,False,11,11,0.8181818181818182,True
148.0,2.0929735,1.9182339,1.0642484,False,11,11,0.8181818181818182,True
150.0,2.098115,2.6703236,1.343363,False,11,11,0.9090909090909091,True
152.0,2.1020596,2.4880342,1.42545,False,12,12,0.8181818181818182,True
154.0,2.098046,2.2648592,1.5821896,False,11,11,0.9090909090909091,True
156.0,2.0277066,2.3969784,1.4640496,False,12,12,0.9090909090909091,True
158.0,2.029376,2.5798573,1.5801687,False,12,12,0.9090909090909091,True
160.0,2.011837,1.8507361,1.403177,False,10,10,0.8181818181818182,True
162.0,2.0333915,2.0945983,1.1410604,False,12,12,0.9090909090909091,True
164.0,1.9850776,2.319562,1.3647228,False,12,12,0.9090909090909091,True
166.0,2.1490204,2.237502,1.4978976,False,12,12,0.9090909090909091,True
168.0,2.1488326,2.251969,1.5749476,False,10,10,0.9090909090909091,True
170.0,2.1404161,2.0099578,1.7136075,False,12,12,0.9090909090909091,True
172.0,2.0567284,2.0320263,1.5809853,False,12,12,0.9090909090909091,True
174.0,1.9928361,1.9951277,1.4289341,False,12,12,0.9090909090909091,True
176.0,1.9955354,2.2710147,1.7730889,False,12,12,0.9090909090909091,True
178.0,2.0817528,2.381605,1.7682122,False,11,11,0.8181818181818182,True
180.0,2.0430615,2.4775958,1.9226211,False,11,11,0.8181818181818182,True
182.0,2.0328014,2.5293362,1.9822857,False,12,12,0.9090909090909091,True
184.0,2.0898702,2.1079636,1.7937071,False,12,12,0.9090909090909091,True
186.0,2.0612366,2.560028,1.9489591,False,11,11,0.9090909090909091,True
188.0,2.0677292,2.2286239,1.7514931,False,12,12,0.9090909090909091,True
190.0,2.073858,2.4764717,1.8025361,False,11,11,0.8181818181818182,True
