frame_index_0,time_ps
100,202.0
108,218.0
116,234.0
124,250.0
132,266.0
140,282.0
148,298.0
157,316.0
165,332.0
173,348.0
181,364.0
189,380.0
197,396.0
205,412.0
214,430.0
222,446.0
230,462.0
238,478.0
246,494.0
254,510.0
262,526.0
271,544.0
279,560.0
287,576.0
295,592.0
303,608.0
311,624.0
319,640.0
328,658.0
336,674.0
344,690.0
352,706.0
360,722.0
368,738.0
376,754.0
385,772.0
393,788.0
401,804.0
409,820.0
417,836.0
425,852.0
433,868.0
442,886.0
450,902.0
458,918.0
466,934.0
474,950.0
482,966.0
490,982.0
499,1000.0
