time_ps,RMSD_conformation_A,heavy_geometric_radius_A,series,included
2.0,0.9227628,5.2148514,bound_09h_1ns,False
4.0,0.874188,5.126831,bound_09h_1ns,False
6.0,0.94891524,5.131697,bound_09h_1ns,False
8.0,0.88760525,5.08069,bound_09h_1ns,False
10.0,0.9940188,5.040658,bound_09h_1ns,False
12.0,1.0794396,4.9851685,bound_09h_1ns,False
14.0,0.89277256,5.183588,bound_09h_1ns,False
16.0,0.9219753,5.150442,bound_09h_1ns,False
18.0,0.9095672,5.1083875,bound_09h_1ns,False
20.0,1.1260476,5.0275187,bound_09h_1ns,False
22.0,0.9964543,5.143848,bound_09h_1ns,False
24.0,0.8667692,5.149817,bound_09h_1ns,False
26.0,0.99043536,5.058809,bound_09h_1ns,False
28.0,0.89704937,5.1026206,bound_09h_1ns,False
30.0,1.2956314,4.8290296,bound_09h_1ns,False
32.0,1.066236,5.097185,bound_09h_1ns,False
34.0,1.1898563,4.9777102,bound_09h_1ns,False
36.0,0.963023,5.0735908,bound_09h_1ns,False
38.0,1.1739199,4.889342,bound_09h_1ns,False
40.0,0.89210284,5.1416464,bound_09h_1ns,False
42.0,1.0053804,4.9218054,bound_09h_1ns,False
44.0,1.022463,5.0401325,bound_09h_1ns,False
46.0,0.94248146,5.028507,bound_09h_1ns,False
48.0,0.93267596,4.984501,bound_09h_1ns,False
50.0,0.91016287,5.1090355,bound_09h_1ns,False
52.0,0.8684381,5.0720243,bound_09h_1ns,False
54.0,0.8899855,5.0823684,bound_09h_1ns,False
56.0,0.9227732,5.133353,bound_09h_1ns,False
58.0,0.7471905,5.1656904,bound_09h_1ns,False
60.0,0.8374994,5.110834,bound_09h_1ns,False
62.0,0.8796492,5.0299745,bound_09h_1ns,False
64.0,0.6936688,5.1368246,bound_09h_1ns,False
66.0,0.8066666,5.1906815,bound_09h_1ns,False
68.0,0.7986088,5.139756,bound_09h_1ns,False
70.0,0.82032025,5.134699,bound_09h_1ns,False
72.0,0.8338609,5.034278,bound_09h_1ns,False
74.0,0.97718567,5.0252957,bound_09h_1ns,False
76.0,1.0003531,4.9775786,bound_09h_1ns,False
78.0,1.0754447,4.9243937,bound_09h_1ns,False
80.0,1.2143049,4.8826647,bound_09h_1ns,False
82.0,1.1050298,4.9518895,bound_09h_1ns,False
84.0,1.0096463,5.0698786,bound_09h_1ns,False
86.0,0.77114433,5.1362076,bound_09h_1ns,False
88.0,0.94226724,5.0619025,bound_09h_1ns,False
90.0,0.839751,5.0096564,bound_09h_1ns,False
92.0,0.85675204,5.138671,bound_09h_1ns,False
94.0,1.029538,4.9993615,bound_09h_1ns,False
96.0,1.2072711,4.8702044,bound_09h_1ns,False
98.0,1.2010502,4.8852835,bound_09h_1ns,False
100.0,1.02522,4.9500027,bound_09h_1ns,False
102.0,0.98694193,4.957147,bound_09h_1ns,False
104.0,1.0216714,4.8999786,bound_09h_1ns,False
106.0,1.1214904,4.880219,bound_09h_1ns,False
108.0,1.1005993,4.9243274,bound_09h_1ns,False
110.0,1.0347401,5.00469,bound_09h_1ns,False
112.0,0.8370837,5.096874,bound_09h_1ns,False
114.0,0.8256372,5.078687,bound_09h_1ns,False
116.0,0.9013889,5.1270475,bound_09h_1ns,False
118.0,0.9483607,5.033305,bound_09h_1ns,False
120.0,0.81954294,5.048814,bound_09h_1ns,False
122.0,0.86143667,5.0618863,bound_09h_1ns,False
124.0,0.9716216,4.951801,bound_09h_1ns,False
126.0,0.99091023,4.9210978,bound_09h_1ns,False
128.0,0.9623593,4.9825964,bound_09h_1ns,False
130.0,0.9497223,5.1159945,bound_09h_1ns,False
132.0,0.80480045,5.145767,bound_09h_1ns,False
134.0,0.890423,5.094168,bound_09h_1ns,False
136.0,0.72210395,5.110082,bound_09h_1ns,False
138.0,0.93147206,5.2579045,bound_09h_1ns,False
140.0,1.185724,5.1998167,bound_09h_1ns,False
142.0,0.95635676,5.241077,bound_09h_1ns,False
144.0,0.8017533,5.251273,bound_09h_1ns,False
146.0,1.1729826,5.1494083,bound_09h_1ns,False
148.0,0.9333949,5.211543,bound_09h_1ns,False
150.0,1.2643688,5.203082,bound_09h_1ns,False
152.0,1.0560896,5.124983,bound_09h_1ns,False
154.0,1.0120709,5.21597,bound_09h_1ns,False
156.0,1.1229818,5.2521377,bound_09h_1ns,False
158.0,1.1489732,5.151057,bound_09h_1ns,False
160.0,1.0658275,5.216727,bound_09h_1ns,False
162.0,1.209218,5.209524,bound_09h_1ns,False
164.0,1.2201927,5.1203256,bound_09h_1ns,False
166.0,1.0374906,5.269708,bound_09h_1ns,False
168.0,0.970859,5.1822577,bound_09h_1ns,False
170.0,0.9273505,5.2151747,bound_09h_1ns,False
172.0,1.068684,5.173177,bound_09h_1ns,False
174.0,0.9530486,5.1972704,bound_09h_1ns,False
176.0,1.150871,5.132207,bound_09h_1ns,False
178.0,1.1399264,5.1092772,bound_09h_1ns,False
180.0,1.174594,5.189128,bound_09h_1ns,False
182.0,1.1800106,5.2053685,bound_09h_1ns,False
184.0,1.0103073,5.204092,bound_09h_1ns,False
186.0,1.0999551,5.304328,bound_09h_1ns,False
188.0,1.1562228,5.2436347,bound_09h_1ns,False
190.0,1.1450211,5.23408,bound_09h_1ns,False
192.0,1.1301181,5.273406,bound_09h_1ns,False
194.0,1.3463287,5.2867537,bound_09h_1ns,False
196.0,1.1046615,5.2510495,bound_09h_1ns,False
198.0,1.2720591,5.2172766,bound_09h_1ns,False
200.0,1.1519741,5.315589,bound_09h_1ns,False
202.0,1.1033658,5.254951,bound_09h_1ns,True
204.0,1.1434264,5.2342706,bound_09h_1ns,True
206.0,1.1900393,5.234317,bound_09h_1ns,True
208.0,1.1380229,5.24842,bound_09h_1ns,True
210.0,1.1580017,5.306585,bound_09h_1ns,True
212.0,1.0296507,5.275014,bound_09h_1ns,True
214.0,1.059607,5.26575,bound_09h_1ns,True
216.0,1.0117301,5.3457537,bound_09h_1ns,True
218.0,1.0874306,5.3540382,bound_09h_1ns,True
220.0,1.0961583,5.216558,bound_09h_1ns,True
222.0,1.3737808,5.1832814,bound_09h_1ns,True
224.0,1.0636002,5.214379,bound_09h_1ns,True
226.0,1.1431191,5.2367883,bound_09h_1ns,True
228.0,1.1095314,5.3179336,bound_09h_1ns,True
230.0,1.1394131,5.245502,bound_09h_1ns,True
232.0,1.0980895,5.3329916,bound_09h_1ns,True
234.0,1.138841,5.3956413,bound_09h_1ns,True
236.0,1.0550942,5.3086596,bound_09h_1ns,True
238.0,1.0327735,5.3744802,bound_09h_1ns,True
240.0,1.0210972,5.270996,bound_09h_1ns,True
242.0,0.97238034,5.3142,bound_09h_1ns,True
244.0,1.1422999,5.2705026,bound_09h_1ns,True
246.0,1.0344127,5.2727346,bound_09h_1ns,True
248.0,1.0608723,5.21004,bound_09h_1ns,True
250.0,1.0837733,5.2129736,bound_09h_1ns,True
252.0,1.1380062,5.259145,bound_09h_1ns,True
254.0,1.1084279,5.2532244,bound_09h_1ns,True
256.0,1.1213387,5.2861476,bound_09h_1ns,True
258.0,1.1209446,5.2891803,bound_09h_1ns,True
260.0,0.90136594,5.2133565,bound_09h_1ns,True
262.0,1.2866794,5.2504663,bound_09h_1ns,True
264.0,1.2413514,5.079935,bound_09h_1ns,True
266.0,0.9211267,5.140836,bound_09h_1ns,True
268.0,1.0571065,5.2205906,bound_09h_1ns,True
270.0,1.0649219,5.235999,bound_09h_1ns,True
272.0,1.0744436,5.333522,bound_09h_1ns,True
274.0,1.0362397,5.28633,bound_09h_1ns,True
276.0,1.0652531,5.2431555,bound_09h_1ns,True
278.0,0.93885195,5.3092422,bound_09h_1ns,True
280.0,1.0332043,5.255624,bound_09h_1ns,True
282.0,1.0355647,5.2562103,bound_09h_1ns,True
284.0,0.8450473,5.317727,bound_09h_1ns,True
286.0,1.0959915,5.2316813,bound_09h_1ns,True
288.0,1.1389834,5.332242,bound_09h_1ns,True
290.0,1.0405929,5.282509,bound_09h_1ns,True
292.0,1.1115681,5.199308,bound_09h_1ns,True
294.0,0.958684,5.329935,bound_09h_1ns,True
296.0,0.9471079,5.271251,bound_09h_1ns,True
298.0,0.8961311,5.346339,bound_09h_1ns,True
300.0,0.9558314,5.3280444,bound_09h_1ns,True
302.0,1.0084916,5.305463,bound_09h_1ns,True
304.0,1.2902026,5.261261,bound_09h_1ns,True
306.0,1.2819109,5.193404,bound_09h_1ns,True
308.0,0.9650707,5.196443,bound_09h_1ns,True
310.0,0.9582263,5.304016,bound_09h_1ns,True
312.0,1.0489179,5.236615,bound_09h_1ns,True
314.0,1.0027035,5.3789425,bound_09h_1ns,True
316.0,1.1452737,5.271642,bound_09h_1ns,True
318.0,1.1029682,5.2625265,bound_09h_1ns,True
320.0,1.1008449,5.331226,bound_09h_1ns,True
322.0,1.2034061,5.2021413,bound_09h_1ns,True
324.0,1.1191665,5.229044,bound_09h_1ns,True
326.0,1.016623,5.3433557,bound_09h_1ns,True
328.0,1.0225251,5.2671857,bound_09h_1ns,True
330.0,1.11275,5.2867155,bound_09h_1ns,True
332.0,1.1759586,5.3538375,bound_09h_1ns,True
334.0,1.0807154,5.301031,bound_09h_1ns,True
336.0,1.1386261,5.3128123,bound_09h_1ns,True
338.0,1.0003515,5.3328233,bound_09h_1ns,True
340.0,1.175031,5.2643704,bound_09h_1ns,True
342.0,0.9548831,5.3117294,bound_09h_1ns,True
344.0,1.0117332,5.283177,bound_09h_1ns,True
346.0,1.0277472,5.3179235,bound_09h_1ns,True
348.0,0.9367163,5.333088,bound_09h_1ns,True
350.0,1.0555221,5.292136,bound_09h_1ns,True
352.0,0.9288678,5.2011833,bound_09h_1ns,True
354.0,0.9054127,5.336626,bound_09h_1ns,True
356.0,0.6874612,5.191678,bound_09h_1ns,True
358.0,0.813315,5.273414,bound_09h_1ns,True
360.0,1.021234,5.2523327,bound_09h_1ns,True
