time_ps,RMSD_conformation_A,heavy_geometric_radius_A,protein_CA_RMSD_A,ligand_EGFR_fit_RMSD_A,site_center_distance_A,series,included
10.0,1.721667,5.3470855,2.9584293,4.1008897,4.5072184,replica_01_seed20260931,False
20.0,2.402175,5.3023577,2.7800035,4.1016955,3.144767,replica_01_seed20260931,False
30.0,2.296913,5.3812222,2.8306248,3.905982,3.0023835,replica_01_seed20260931,False
40.0,2.3918493,5.2591176,2.8461006,3.8224938,3.1457834,replica_01_seed20260931,False
50.0,1.8896403,5.2594733,2.8242266,4.061295,4.705736,replica_01_seed20260931,False
60.0,2.0459237,5.3154354,2.8032975,4.043139,4.172202,replica_01_seed20260931,False
70.0,2.2657218,5.248966,3.0295408,4.126259,4.145768,replica_01_seed20260931,False
80.0,2.3091536,5.280659,2.8596349,3.599881,3.768033,replica_01_seed20260931,False
90.0,2.160421,5.167051,2.8891718,3.6400084,3.8456311,replica_01_seed20260931,False
100.0,2.1941464,5.260356,2.9230964,3.7384834,3.8482547,replica_01_seed20260931,False
110.0,2.4901419,5.2985835,2.8831937,3.7480226,3.382093,replica_01_seed20260931,False
120.0,2.2924771,5.331206,2.7158794,3.4222865,3.6437666,replica_01_seed20260931,False
130.0,2.5702696,5.2587886,2.802138,3.8554564,3.2576835,replica_01_seed20260931,False
140.0,2.3080182,5.2386484,2.7421668,3.5113888,3.7694197,replica_01_seed20260931,False
150.0,2.2462232,5.2350388,2.6118355,3.5837374,4.0233417,replica_01_seed20260931,False
160.0,2.3190951,5.3222847,2.8055573,4.117982,4.499036,replica_01_seed20260931,False
170.0,2.5056694,5.210779,2.7165022,3.8777113,3.4982517,replica_01_seed20260931,False
180.0,2.4765875,5.292082,2.6266904,3.8262367,3.4486823,replica_01_seed20260931,False
190.0,2.3350492,5.2740884,2.6958694,3.6697373,3.0940864,replica_01_seed20260931,False
200.0,2.125374,5.310134,2.6771595,3.3870006,3.3093956,replica_01_seed20260931,False
210.0,2.417005,5.2480073,2.6552794,3.3629692,2.5705533,replica_01_seed20260931,False
220.0,2.2790005,5.2684526,2.5573716,3.1827664,3.2947776,replica_01_seed20260931,False
230.0,2.3452537,5.265314,2.5573573,3.289038,3.0377207,replica_01_seed20260931,False
240.0,2.1543095,5.224087,2.5040145,3.2642264,3.9500804,replica_01_seed20260931,False
250.0,2.2268953,5.173253,2.582848,3.3369799,3.360627,replica_01_seed20260931,False
260.0,2.16049,5.183993,2.466095,3.2625666,4.097195,replica_01_seed20260931,False
270.0,1.877837,5.27268,2.415042,3.44488,4.552937,replica_01_seed20260931,False
280.0,2.0380144,5.2235603,2.5365183,3.2514155,4.53508,replica_01_seed20260931,False
290.0,2.0905647,5.2157764,2.5104694,2.9281423,3.9199858,replica_01_seed20260931,False
300.0,2.1367967,5.2845774,2.4570794,3.3881056,2.7313852,replica_01_seed20260931,False
310.0,1.9870411,5.3411837,2.596243,3.157093,3.015456,replica_01_seed20260931,False
320.0,1.8588579,5.245457,2.9663918,3.169107,4.0059447,replica_01_seed20260931,False
330.0,1.6099752,5.3217626,3.04412,3.1804168,3.537188,replica_01_seed20260931,False
340.0,1.5370526,5.395665,2.8649645,3.1026015,3.7273703,replica_01_seed20260931,False
350.0,1.2789836,5.3107967,2.6801414,2.820451,3.7819197,replica_01_seed20260931,False
360.0,1.1319717,5.2232933,2.646294,2.9007988,3.606327,replica_01_seed20260931,False
370.0,1.5540451,5.2426643,2.660253,3.0577865,3.323997,replica_01_seed20260931,False
380.0,1.9133623,5.1787496,2.8076613,2.8060079,3.6039236,replica_01_seed20260931,False
390.0,1.86171,5.172886,3.023703,3.2045338,2.925998,replica_01_seed20260931,False
400.0,1.9492613,5.1174793,3.0813434,2.8522732,3.5178494,replica_01_seed20260931,False
410.0,1.8582036,5.3650975,3.1591678,3.2976055,3.7611792,replica_01_seed20260931,False
420.0,1.879441,5.31678,3.2066228,3.17515,3.1602023,replica_01_seed20260931,False
430.0,2.192913,5.1897984,3.2030604,3.1671815,3.3019347,replica_01_seed20260931,False
440.0,1.8503536,5.313053,3.2106686,3.3647628,4.251567,replica_01_seed20260931,False
450.0,2.1622493,5.3068314,3.1128054,3.379327,3.3553977,replica_01_seed20260931,False
460.0,2.5531223,5.3140316,2.995293,3.5424542,3.6522317,replica_01_seed20260931,False
470.0,2.281834,5.331357,3.1676292,3.2286077,3.3400097,replica_01_seed20260931,False
480.0,2.3859823,5.407381,3.2583218,3.4703991,3.9016414,replica_01_seed20260931,False
490.0,2.2215412,5.272356,3.2251935,3.3067808,4.1550035,replica_01_seed20260931,False
500.0,2.1399662,5.221548,3.3108523,3.0639603,4.153717,replica_01_seed20260931,False
510.0,2.1865895,5.330309,3.1863112,3.1419036,4.5768766,replica_01_seed20260931,False
520.0,2.2602863,5.2137747,3.338089,3.7299652,4.9742312,replica_01_seed20260931,False
530.0,2.226297,5.3172565,3.5552707,3.4145746,4.192584,replica_01_seed20260931,False
540.0,2.3815842,5.2806735,3.6218724,3.322256,4.0355597,replica_01_seed20260931,False
550.0,2.0084593,5.2950053,3.597508,3.0738113,3.8704965,replica_01_seed20260931,False
560.0,2.0374014,5.34278,3.458409,3.118284,3.5147147,replica_01_seed20260931,False
570.0,2.083874,5.312518,3.6732454,2.8967335,3.4345791,replica_01_seed20260931,False
580.0,1.6733203,5.3378973,3.5365036,3.099345,3.1876614,replica_01_seed20260931,False
590.0,1.7824446,5.1868844,3.4675388,3.150869,3.6444304,replica_01_seed20260931,False
600.0,1.866863,5.356746,3.45514,2.9541876,3.183348,replica_01_seed20260931,False
610.0,1.9964952,5.234468,3.6366022,3.0689027,2.4104528,replica_01_seed20260931,False
620.0,1.972188,5.326145,3.615302,3.4585693,1.3053753,replica_01_seed20260931,False
630.0,1.7204101,5.2398562,3.7936034,3.790557,0.8587479,replica_01_seed20260931,False
640.0,1.8567944,5.2733274,3.8087645,3.547367,0.83175665,replica_01_seed20260931,False
650.0,1.747915,5.1896486,3.7840378,3.2087383,0.78785145,replica_01_seed20260931,False
660.0,1.6620356,5.2324533,3.779736,3.3967092,0.7106131,replica_01_seed20260931,False
670.0,1.6207967,5.316086,4.0596495,3.329917,0.70466226,replica_01_seed20260931,False
680.0,1.7138584,5.3014774,4.0334744,3.6666157,0.45191136,replica_01_seed20260931,False
690.0,1.5552628,5.3003697,4.0715466,4.14747,0.5577205,replica_01_seed20260931,False
700.0,1.6120234,5.2704296,4.019468,4.3133154,0.9130948,replica_01_seed20260931,False
710.0,1.4174674,5.3236814,3.9996576,3.6502404,0.3481617,replica_01_seed20260931,False
720.0,1.7582773,5.377583,3.94557,3.7222717,0.3939492,replica_01_seed20260931,False
730.0,1.6440481,5.196004,4.0438786,3.7626493,0.61209,replica_01_seed20260931,False
740.0,1.5754317,5.3395324,4.0196967,3.825536,0.55231065,replica_01_seed20260931,False
750.0,1.6834495,5.2982597,4.339076,3.728177,0.22522627,replica_01_seed20260931,False
